,Crm Cd,Crm Cd Desc,DATE OCC
3205,110,CRIMINAL HOMICIDE,2020-12-20
18619,113,"MANSLAUGHTER, NEGLIGENT",2020-04-28
5,121,"RAPE, FORCIBLE",2020-01-01
1462,122,"RAPE, ATTEMPTED",2020-01-02
19,210,ROBBERY,2020-01-14
245,220,ATTEMPTED ROBBERY,2020-01-07
24,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2020-01-15
3702,231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,2020-01-05
5380,235,CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,2020-12-24
48,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2020-11-26
864,237,CHILD NEGLECT (SEE 300 W.I.C.),2020-01-25
3023,250,"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT",2020-01-24
329,251,SHOTS FIRED AT INHABITED DWELLING,2020-05-29
30,310,BURGLARY,2020-01-23
341,320,"BURGLARY, ATTEMPTED",2020-01-11
10,330,BURGLARY FROM VEHICLE,2020-01-04
131,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),2020-12-24
8,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",2020-01-04
615,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),2020-01-18
3771,345,DISHONEST EMPLOYEE - GRAND THEFT,2020-11-01
53702,347,GRAND THEFT / INSURANCE FRAUD,2020-07-04
123267,349,GRAND THEFT / AUTO REPAIR,2020-04-22
54,350,"THEFT, PERSON",2020-01-01
811,351,PURSE SNATCHING,2020-01-17
2462,352,PICKPOCKET,2020-01-04
153790,353,DRUNK ROLL,2020-05-09
18,354,THEFT OF IDENTITY,2020-11-19
1627,410,"BURGLARY FROM VEHICLE, ATTEMPTED",2020-01-10
45,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),2020-11-12
176,421,THEFT FROM MOTOR VEHICLE - ATTEMPT,2020-01-05
471249,432,BLOCKING DOOR INDUCTION CENTER,2022-06-24
8028,433,DRIVING WITHOUT OWNER CONSENT (DWOC),2020-08-03
1600,434,FALSE IMPRISONMENT,2020-01-09
58731,435,LYNCHING,2020-08-26
13323,436,LYNCHING - ATTEMPTED,2020-07-25
656,437,RESISTING ARREST,2020-01-19
19545,438,RECKLESS DRIVING,2020-02-13
13772,439,FALSE POLICE REPORT,2020-10-09
17,440,THEFT PLAIN - PETTY ($950 & UNDER),2020-02-22
1422,441,THEFT PLAIN - ATTEMPT,2020-01-17
6,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),2020-01-02
1466,443,SHOPLIFTING - ATTEMPT,2020-06-20
90014,444,DISHONEST EMPLOYEE - PETTY THEFT,2020-03-06
463359,445,DISHONEST EMPLOYEE ATTEMPTED THEFT,2022-11-01
18530,446,PETTY THEFT - AUTO REPAIR,2020-07-11
1511,450,THEFT FROM PERSON - ATTEMPT,2020-07-13
20091,451,PURSE SNATCHING - ATTEMPT,2020-07-04
153213,452,"PICKPOCKET, ATTEMPT",2020-01-01
5681,470,TILL TAP - GRAND THEFT ($950.01 & OVER),2020-10-19
4820,471,TILL TAP - PETTY ($950 & UNDER),2020-03-13
52027,473,"THEFT, COIN MACHINE - GRAND ($950.01 & OVER)",2020-05-11
92771,474,"THEFT, COIN MACHINE - PETTY ($950 & UNDER)",2020-11-21
90842,475,"THEFT, COIN MACHINE - ATTEMPT",2020-11-06
63,480,BIKE - STOLEN,2020-01-01
24445,485,BIKE - ATTEMPTED STOLEN,2020-05-26
46385,487,BOAT - STOLEN,2020-11-09
33,510,VEHICLE - STOLEN,2020-09-03
1734,520,VEHICLE - ATTEMPT STOLEN,2020-01-13
18261,522,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",2020-04-06
4779,622,BATTERY ON A FIREFIGHTER,2020-03-22
66,623,BATTERY POLICE (SIMPLE),2020-01-01
0,624,BATTERY - SIMPLE ASSAULT,2020-01-08
247,625,OTHER ASSAULT,2020-01-07
15,626,INTIMATE PARTNER - SIMPLE ASSAULT,2020-11-30
1319,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,2020-10-24
181,647,THROWING OBJECT AT MOVING VEHICLE,2020-01-05
13,648,ARSON,2020-01-07
291,649,DOCUMENT FORGERY / STOLEN FELONY,2020-01-05
8483,651,DOCUMENT WORTHLESS ($200.01 & OVER),2020-07-03
3347,652,DOCUMENT WORTHLESS ($200 & UNDER),2020-11-15
12894,653,"CREDIT CARDS, FRAUD USE ($950.01 & OVER)",2020-10-01
2374,654,"CREDIT CARDS, FRAUD USE ($950 & UNDER",2020-01-09
